City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bengkulu,ID,2022-02-01 18:56:06,-3.8004,102.2655,73.27,87,100,7.54
68,Saint-Pierre,RE,2022-02-01 18:55:46,-21.3393,55.4781,80.24,89,75,29.93
69,Ostrovnoy,RU,2022-02-01 18:52:04,68.0531,39.5131,14.94,95,100,3.38
70,Quelimane,MZ,2022-02-01 18:56:07,-17.8786,36.8883,80.55,83,0,8.01
71,Cape Town,ZA,2022-02-01 18:55:24,-33.9258,18.4232,72.12,74,20,10.36
72,Sitka,US,2022-02-01 18:52:09,57.0531,-135.33,31.89,80,75,0.0
73,Floro,NO,2022-02-01 18:56:08,61.5996,5.0328,37.36,93,75,26.46
74,Victoria,HK,2022-02-01 18:53:44,22.2855,114.1577,60.94,91,100,4.0
75,Andenes,NO,2022-02-01 18:56:09,69.3143,16.1194,26.58,54,0,16.11
76,Fairbanks,US,2022-02-01 18:56:09,64.8378,-147.7164,-14.4,74,0,0.0
77,Ketchikan,US,2022-02-01 18:53:24,55.3422,-131.6461,33.78,84,100,3.74
78,Grindavik,IS,2022-02-01 18:56:10,63.8424,-22.4338,36.07,69,75,21.85
79,Puerto Ayora,EC,2022-02-01 18:53:37,-0.7393,-90.3518,84.16,86,90,5.01
80,Nizhnevartovsk,RU,2022-02-01 18:56:11,60.9344,76.5531,-5.78,92,0,4.47
81,Jackson,US,2022-02-01 18:52:42,42.4165,-122.8345,42.15,76,40,0.0
82,Chuy,UY,2022-02-01 18:53:14,-33.6971,-53.4616,75.25,40,0,7.38
83,Te Anau,NZ,2022-02-01 18:56:12,-45.4167,167.7167,63.45,97,100,4.63
84,Salinopolis,BR,2022-02-01 18:56:12,-0.6136,-47.3561,82.09,77,73,11.86
85,Saldanha,ZA,2022-02-01 18:51:32,-33.0117,17.9442,69.85,95,22,8.34
86,Payson,US,2022-02-01 18:56:13,40.0444,-111.7321,33.55,47,8,5.93
87,Bintulu,MY,2022-02-01 18:56:14,3.1667,113.0333,77.41,94,20,1.99
88,Lewistown,US,2022-02-01 18:57:14,40.5992,-77.5714,39.47,72,0,9.22
89,Pag,HR,2022-02-01 18:57:15,44.445,15.0575,43.38,67,2,11.45
90,Albany,US,2022-02-01 18:57:15,42.6001,-73.9662,36.81,48,24,4.0
91,Nikki,BJ,2022-02-01 18:57:16,9.9401,3.2108,77.59,12,0,5.59
92,Moranbah,AU,2022-02-01 18:57:17,-22.0016,148.0466,76.98,79,98,10.76
93,Tiznit,MA,2022-02-01 18:57:17,29.5833,-9.5,66.83,34,100,3.53
94,Poum,NC,2022-02-01 18:57:17,-20.2333,164.0167,80.65,78,32,10.09
95,Surt,LY,2022-02-01 18:55:07,31.2089,16.5887,57.02,58,97,25.7
96,Fare,PF,2022-02-01 18:54:43,-16.7,-151.0167,80.85,75,0,20.6
97,General Roca,AR,2022-02-01 18:57:19,-39.0333,-67.5833,96.62,11,68,17.47
98,Bluff,NZ,2022-02-01 18:57:19,-46.6,168.3333,66.79,80,100,9.31
99,Port Augusta,AU,2022-02-01 18:57:20,-32.5,137.7667,60.94,52,100,17.65
100,New Norfolk,AU,2022-02-01 18:57:20,-42.7826,147.0587,51.3,55,8,1.01
101,Gigmoto,PH,2022-02-01 18:57:20,13.7796,124.39,76.84,88,99,14.52
102,Scarborough,GB,2022-02-01 18:57:21,54.2797,-0.4044,50.54,74,100,3.0
103,Georgetown,MY,2022-02-01 18:53:29,5.4112,100.3354,82.89,85,20,1.01
104,Butaritari,KI,2022-02-01 18:57:22,3.0707,172.7902,81.43,75,95,10.83
105,Polovinnoye,RU,2022-02-01 18:57:22,54.7914,65.9864,10.92,97,82,8.46
106,Athens,GR,2022-02-01 18:56:06,37.9795,23.7162,57.52,85,75,11.99
107,Klaksvik,FO,2022-02-01 18:57:23,62.2266,-6.589,32.92,79,100,15.39
108,Tessalit,ML,2022-02-01 18:57:23,20.1986,1.0114,71.6,14,100,8.9
109,Betong,TH,2022-02-01 18:57:24,5.7743,101.0723,69.24,95,62,2.37
110,Srednekolymsk,RU,2022-02-01 18:51:51,67.45,153.6833,-21.89,98,89,2.1
111,Talnakh,RU,2022-02-01 18:53:29,69.4865,88.3972,6.21,96,100,9.24
112,Torbay,CA,2022-02-01 18:53:20,47.6666,-52.7314,28.58,53,75,19.57
113,Caceres,ES,2022-02-01 18:57:26,39.522,-6.3748,48.18,66,0,1.81
114,Hualmay,PE,2022-02-01 18:57:26,-11.0964,-77.6139,75.85,69,41,11.45
115,Tagusao,PH,2022-02-01 18:57:27,9.1924,117.8141,77.61,84,100,5.08
116,Oborniki,PL,2022-02-01 18:57:27,52.6474,16.8141,34.48,97,100,19.8
117,Pangnirtung,CA,2022-02-01 18:57:28,66.1451,-65.7125,-25.6,68,0,0.0
118,Carnarvon,AU,2022-02-01 18:57:28,-24.8667,113.6333,77.07,83,100,19.57
119,Bethel,US,2022-02-01 18:50:02,41.3712,-73.414,36.64,60,0,8.05
120,Samarai,PG,2022-02-01 18:57:29,-10.6167,150.6667,80.8,78,100,12.06
121,Thompson,CA,2022-02-01 18:55:22,55.7435,-97.8558,-18.24,69,75,9.22
122,Bobo Dioulasso,BF,2022-02-01 18:55:47,11.1771,-4.2979,86.45,12,0,6.91
123,Ribeira Grande,PT,2022-02-01 18:57:30,38.5167,-28.7,61.2,77,20,23.02
124,Tuktoyaktuk,CA,2022-02-01 18:57:30,69.4541,-133.0374,-22.0,76,20,4.61
125,Codrington,AU,2022-02-01 18:53:36,-38.2667,141.9667,57.18,52,88,15.08
126,Gravdal,NO,2022-02-01 18:57:31,68.1214,13.5031,28.08,55,100,16.2
127,Salalah,OM,2022-02-01 18:57:32,17.0151,54.0924,69.82,59,24,2.82
128,Sampit,ID,2022-02-01 18:57:32,-2.5333,112.95,72.93,98,19,1.92
129,Mendi,PG,2022-02-01 18:58:33,-6.1761,143.6513,54.7,97,100,1.83
130,East London,ZA,2022-02-01 18:50:06,-33.0153,27.9116,76.14,88,75,8.05
131,Los Llanos De Aridane,ES,2022-02-01 18:58:34,28.6585,-17.9182,71.13,63,75,8.01
132,Flin Flon,CA,2022-02-01 18:58:34,54.7682,-101.865,-13.16,58,20,13.8
133,Saint-Augustin,CA,2022-02-01 18:58:35,51.226,-58.6502,4.3,76,2,13.58
134,Ponta Do Sol,PT,2022-02-01 18:58:35,32.6667,-17.1,67.01,72,1,11.25
135,Kruisfontein,ZA,2022-02-01 18:58:36,-34.0033,24.7314,75.88,73,99,3.76
136,Alofi,NU,2022-02-01 18:58:36,-19.0595,-169.9187,69.69,100,0,1.14
137,Zaltan,LY,2022-02-01 18:58:36,32.947,11.8665,55.13,55,89,22.24
138,Cidreira,BR,2022-02-01 18:49:01,-30.1811,-50.2056,75.52,64,20,9.82
139,Ngunguru,NZ,2022-02-01 18:58:37,-35.6167,174.5,70.16,86,100,17.45
140,Billings,US,2022-02-01 18:58:38,45.7833,-108.5007,24.37,70,86,8.01
