City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nikolskoye,RU,59.7035,30.7861,26.87,96,100,6.6,light snow
80,Joao Pinheiro,BR,-17.7425,-46.1725,71.1,87,100,5.28,heavy intensity rain
81,Harper,LR,4.375,-7.7169,79.52,86,10,6.44,clear sky
82,Grand Gaube,MU,-20.0064,57.6608,79.38,76,100,5.99,overcast clouds
83,Calvinia,ZA,-31.4707,19.776,76.53,33,6,2.3,clear sky
84,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,20.71,few clouds
85,Vaini,TO,-21.2,-175.2,75.36,94,100,14.97,light rain
86,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,75,9.22,broken clouds
87,Richards Bay,ZA,-28.783,32.0377,71.65,83,92,7.65,overcast clouds
88,Aykhal,RU,66.0,111.5,-11.87,100,97,3.83,overcast clouds
89,Kuznetsk,RU,53.1167,46.6004,0.61,100,97,4.25,overcast clouds
90,Acapulco,MX,16.8634,-99.8901,82.22,74,0,9.22,clear sky
91,Lethem,GY,3.3803,-59.7968,80.92,63,94,7.9,overcast clouds
92,Jalu,LY,29.0331,21.5482,54.97,49,0,5.28,clear sky
93,Kodiak,US,57.79,-152.4072,38.71,93,100,17.27,light rain
94,Ponta Do Sol,PT,32.6667,-17.1,67.01,49,10,12.08,clear sky
95,Namibe,AO,-15.1961,12.1522,73.08,66,100,10.02,overcast clouds
96,Geraldton,AU,-28.7667,114.6,77.41,78,100,12.66,overcast clouds
97,Itupiranga,BR,-5.1347,-49.3267,74.21,96,100,1.83,overcast clouds
98,Hasaki,JP,35.7333,140.8333,37.29,39,30,14.05,scattered clouds
99,Petatlan,MX,17.5167,-101.2667,84.0,57,0,4.23,clear sky
100,Beringovskiy,RU,63.05,179.3167,-8.14,92,82,14.07,broken clouds
101,Mbaiki,CF,3.8678,17.9892,70.34,24,100,2.75,overcast clouds
102,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,11.5,light rain
103,Manokwari,ID,-0.8667,134.0833,81.32,69,100,2.53,overcast clouds
104,Nelson Bay,AU,-32.7167,152.15,75.11,62,69,5.01,broken clouds
105,San Carlos De Bariloche,AR,-41.1456,-71.3082,67.75,45,40,11.5,scattered clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,71.62,63,0,5.01,clear sky
107,Mayumba,GA,-3.432,10.6554,76.77,87,25,5.03,scattered clouds
108,Kaitong,CN,44.8135,123.15,-4.02,89,39,5.82,scattered clouds
109,Ahuimanu,US,21.4447,-157.8378,83.34,68,20,4.0,few clouds
110,Kahului,US,20.8947,-156.47,84.22,67,40,21.85,scattered clouds
111,Regidor,CO,8.6657,-73.8215,83.68,57,28,1.34,scattered clouds
112,Belmonte,BR,-15.8631,-38.8828,73.9,83,81,7.02,broken clouds
113,Weiser,US,44.251,-116.9693,37.62,75,54,1.99,broken clouds
114,Noumea,NC,-22.2763,166.4572,84.18,76,24,10.07,few clouds
115,Kudahuvadhoo,MV,2.6708,72.8944,80.91,69,10,7.0,clear sky
116,Srednekolymsk,RU,67.45,153.6833,-36.33,99,35,3.24,scattered clouds
117,Provideniya,RU,64.3833,-173.3,-1.68,82,2,11.27,clear sky
118,Victoria,HK,22.2855,114.1577,61.25,80,95,1.01,overcast clouds
119,San Andres,CO,12.5847,-81.7006,80.62,74,20,12.66,few clouds
120,Carnarvon,AU,-24.8667,113.6333,80.67,78,100,13.8,overcast clouds
121,Schererville,US,41.4789,-87.4548,14.92,75,0,5.01,clear sky
122,Beidao,CN,34.5686,105.8933,23.88,87,100,3.09,light snow
123,Jacksonville,US,30.3322,-81.6556,53.6,81,100,1.01,light intensity drizzle
124,Uzunovo,RU,54.5386,38.6173,1.44,98,89,7.45,overcast clouds
125,Trincomalee,LK,8.5711,81.2335,78.71,71,56,11.18,broken clouds
126,Grindavik,IS,63.8424,-22.4338,27.07,74,75,14.97,broken clouds
127,Qaanaaq,GL,77.484,-69.3632,0.63,97,100,4.38,overcast clouds
128,Ribeira Grande,PT,38.5167,-28.7,59.72,73,29,12.33,scattered clouds
129,Yarim,YE,14.298,44.3779,52.63,56,36,4.72,scattered clouds
130,Lagoa,PT,39.05,-27.9833,58.64,73,9,16.49,clear sky
131,Koslan,RU,63.4564,48.8989,-2.04,98,69,6.15,broken clouds
132,Japura,ID,-0.3167,102.35,72.79,98,95,2.93,light rain
133,Butaritari,KI,3.0707,172.7902,82.67,74,51,18.7,broken clouds
134,Ust-Nera,RU,64.5667,143.2,-22.11,67,11,2.33,few clouds
135,Barrow,US,71.2906,-156.7887,-18.38,69,0,11.5,clear sky
136,New Ulm,US,44.3125,-94.4605,36.0,74,0,9.22,clear sky
137,Moerai,PF,-22.4333,-151.3333,80.04,72,98,15.86,overcast clouds
138,Karratha,AU,-20.7377,116.8463,86.41,67,60,9.42,broken clouds
139,Dzhebariki-Khaya,RU,62.2167,135.8,-41.49,100,99,1.7,overcast clouds
140,Hofn,IS,64.2539,-15.2082,29.35,65,73,16.53,broken clouds
141,Codrington,AU,-38.2667,141.9667,73.49,44,58,10.02,broken clouds
142,Noyabrsk,RU,63.1994,75.4507,-1.23,97,100,4.61,overcast clouds
143,Lashio,MM,22.9333,97.75,48.49,98,0,0.47,clear sky
144,Cayenne,GF,4.9333,-52.3333,80.1,85,20,5.99,few clouds
145,Mogadishu,SO,2.0371,45.3438,76.44,83,38,14.54,scattered clouds
146,Henties Bay,NA,-22.116,14.2845,66.85,80,53,4.38,broken clouds
147,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,29,0,8.99,clear sky
148,Yar-Sale,RU,66.8333,70.8333,-13.77,100,85,3.15,overcast clouds
149,Tuatapere,NZ,-46.1333,167.6833,56.82,64,98,6.64,overcast clouds
150,Kefalos,GR,36.7453,26.9589,48.42,57,20,5.75,few clouds
151,Artsyz,UA,45.9919,29.4182,35.98,86,93,13.47,overcast clouds
152,Shellbrook,CA,53.2168,-106.4011,-1.17,98,98,2.59,overcast clouds
